RF00001_1;URS0000435171
RF00020_3750;URS00006CCC59 
RF00020_3751;URS00006641D6
RF00020_3752;URS0000670B05
RF00020_3766;URS00006C134F
RF00020_3767;URS0002327EEE
RF00020_3768;URS000062B096
RF00020_3769;URS00006443E3
RF00020_3770;URS0002331250
RF00020_3771;URS0000228F59
RF00020_3772;URS0002317610
RF00020_3773;URS0000303310
RF00020_3774;URS00006D5724
RF00020_3775;URS0002315345
RF00020_3776;URS00006D92D8
RF00020_3777;URS00006BA7CF
RF00020_3778;URS000065CB24
RF00020_3779;URS00006495D2
RF00023_3829;URS0000421542
RF00023_3830;URS00006E4264 
RF00023_3831;URS0000420905
RF00023_3832;URS00002ACFD9
RF00023_3834;URS00006BB268
RF00023_3835;URS00006AACB0 
RF00023_3837;URS0000704C07
RF00023_3838;URS00006D4524
RF00023_3839;URS0000660AD5
RF00023_3840;URS0000376BE1
RF00023_3841;URS000065367D
RF00023_3842;URS0000654473
RF00023_3843;URS0000705CF8
RF00023_3844;URS00006676DC
RF00023_3847;URS0000192555
RF00023_3849;URS000009FC2B
RF00023_3850;URS00004F6E29
RF00023_3851;URS000068D931
RF00023_3852;URS00003D3CCA
RF00023_3853;URS000062716C
RF00023_3854;URS00006C1AF7
RF00023_3855;URS000070112E
RF00023_3856;URS000066D524
RF00023_3858;URS0000663138
RF00023_3859;URS00006A0908
RF00023_3860;URS00001F9E4E
RF00023_3861;URS000231FDCB 
RF00023_3862;URS0000591CB9 
RF00023_3863;URS00006D0FAC
RF00023_3864;URS0000666D03 
RF00023_3865;URS00006430D2
RF00023_3866;URS00000548E7
RF00023_3867;URS000002FBD6
RF00023_3868;URS000231A440
RF00023_3869;URS000004DDE8
RF00023_3870;URS000051BC43
RF00023_3871;URS000010CBB2
RF00023_3872;URS000231DD24
RF00023_3873;URS000025CF95
RF00023_3874;URS0000246737
RF00023_3875;URS0002312EE3
RF00023_3877;URS000231BCBE
RF00023_3878;URS000231E61B 
RF00023_3879;URS000002B24C
RF00023_3880;URS00000AAC18
RF00023_3881;URS0000332896
RF00023_3883;URS00002DDDB5
RF00023_3884;URS00006CBEC2
RF00023_3887;URS00006801A0
RF00023_3888;URS00002275C1
RF00023_3889;URS000010B9C1
RF00023_3890;URS0000114E1A
RF00023_3891;URS00004F0E38
RF00023_3892;URS0000235CD5
RF00023_3893;URS0000164D11 
RF00023_3894;URS0000093C5B
RF00023_3895;URS000233262B
RF00023_3898;URS000025C6AB
RF00023_3899;URS000232B2EF
RF00023_3900;URS00023329D5 
RF00023_3902;URS00000441D5
RF00023_3903;URS000231B2D9 
RF00023_3904;URS0000130038
RF00023_3905;URS00003F46BE
RF00023_3906;URS0000222F7D
RF00023_3907;URS0000489E3D
RF00023_3908;URS0000109954
RF00023_3910;URS0000622116
RF00023_3911;URS00000254B5
RF00023_3912;URS00001A6638
RF00023_3913;URS00002D5E67 
RF00023_3914;URS00005E5771
RF00023_3915;URS0000510597
RF00023_3916;URS00004568E5
RF00023_3917;URS00000EE8E8
RF00023_3918;URS000050F6AD
RF00023_3920;URS000050088A
RF00023_3921;URS00004A5BA9
RF00023_3922;URS000028F54A 
RF00023_3924;URS0000332BD4
RF00023_3925;URS000040FF0E 
RF00023_3927;URS000006F156
RF00023_3928;URS00001BE8C0
RF00023_3929;URS00000B83BB
RF00023_3930;URS00000EFECE
RF00023_3931;URS0000194DE6
RF00023_3932;URS00005C8C54
RF00023_3933;URS000010921E
RF00023_3934;URS00001DBA81
RF00023_3935;URS000044AB63
RF00023_3937;URS00000F0884
RF00023_3938;URS00002B7BB1
RF00023_3939;URS00005DD114
RF00023_3940;URS0000510625
RF00023_3941;URS00001EA2E7
RF00023_3942;URS00001F0256 
RF00023_3943;URS000046D244
RF00023_3944;URS000052E2A0
RF00023_3945;URS0002324F57
RF00023_3946;URS0000409A20
RF00023_3947;URS0002315268
RF00023_3948;URS0000063226
RF00023_3949;URS00004A6697
RF00023_3951;URS00005A2F8A
RF00023_3952;URS0000537BD0
RF00023_3954;URS0000178F6D
RF00023_3956;URS0000089508
RF00023_3957;URS000231B562
RF00023_3958;URS0002331E62
RF00023_3959;URS0002311FD8
RF00023_3961;URS00023331A4
RF00023_3962;URS00023344DA
RF00023_3963;URS0002335216
RF00023_3964;URS0002317EDA
RF00023_3965;URS0002327257
RF00023_3966;URS000232DF97
RF00023_3967;URS000231DACF
RF00023_3968;URS000231EF02
RF00023_3969;URS0002325C1F
RF00023_3971;URS00023174F1 
RF00023_3972;URS0002329B95
RF00023_3973;URS0002328801
RF00023_3974;URS0002327D97
RF00023_3975;URS00023248C7
RF00023_3976;URS0002331195
RF00023_3977;URS0002331E9D
RF00023_3978;URS0002316BE0
RF00023_4221;URS0002317D49
RF00023_4222;URS000031A6FF
RF00023_4223;URS00004D24C3
RF00023_4224;URS000041B06F
RF00023_4226;URS000004683E
RF00023_4227;URS000037602E
RF00023_4228;URS000061FC52
RF00023_4229;URS000010C13E
RF00023_4230;URS00001E9AB8
RF00023_4231;URS00006007E8
RF00023_4232;URS00001912AD
RF00023_4233;URS00005D8EC1
RF00023_4234;URS0000120A21
RF00023_4236;URS000233108E
RF00023_4237;URS00003F77A5
RF00023_4239;URS000028CA66
RF00023_4241;URS00000AD9AD
RF00023_4242;URS00003763B5
RF00023_4243;URS000018310E
RF00023_4244;URS000061F56B
RF00023_4245;URS000006FC10
RF00023_4247;URS00004BDCEE
RF00023_4248;URS0002318291
RF00162_7945;URS0000AB32B0
RF00162_7946;URS00001512E8
RF00162_7947;URS0000AB5AC4
RF00162_7948;URS0000ABD26C
RF00162_7949;URS000024555B
RF00162_7950;URS0000AB6D62
RF00162_7951;URS0000AB20A3
RF00162_7952;URS0000ABBD7F
RF00162_7953;URS0000ABBE20
RF00162_7954;URS0000ABD402
RF00162_7955;URS0000AB1EB6
RF00162_7957;URS0000AB4337
RF00162_7958;URS0000AB4F14
RF00162_7959;URS0000AB2E1C
RF00162_7961;URS0000AB9EBD
RF00162_7962;URS0000AB222D
RF00162_7963;URS0000AB41ED
RF00162_7964;URS0000ABC381
RF00162_7966;URS0000AB5C5F
RF00162_7967;URS0000ABAE81
RF00162_7968;URS0000AB6F91
RF00162_7969;URS0000AB4319
RF00162_7970;URS0000AB63E8
RF00162_7971;URS0000AB1D2E
RF00162_7972;URS0000AB41B6
RF00162_7973;URS0000AB2572
RF00162_7974;URS0000AB24E2
RF00162_7975;URS0000AB462E
RF00162_7976;URS0000AB74A0
RF00162_7977;URS0000AB5A93
RF00162_7978;URS0000AB7615
RF00162_7979;URS0000AB53E1
RF00162_7980;URS0000ABBB33
RF00162_7981;URS0000AB2229
RF00162_7982;URS0000ABA1C3
RF00162_7984;URS0000AB404C 
RF00162_7985;URS0000AB7A4C
RF00162_7986;URS0000AB2594
RF00162_7987;URS0000ABB105
RF00162_7988;URS0000ABB7FB
RF00162_7989;URS0000AB5384
RF00162_7990;URS0000AB96CF
RF00162_7991;URS0000AB88CC
RF00162_7992;URS0000ABA3E3
RF00162_7993;URS0000AB8706
RF00162_7994;URS0000AB22CA
RF00162_7995;URS0000AB2A3C
RF00162_7997;URS0000AB91FC
RF00162_7998;URS0000AB7063 
RF00162_7999;URS0000AB34B1
RF00162_8000;URS0000AB72F9 
RF00162_8001;URS0000ABA74A
RF00162_8002;URS0000AB9F79
RF00162_8003;URS00002E01C5
RF00162_8004;URS0000AB243E 
RF00162_8005;URS0000AB1EA1 
RF00162_8006;URS0000AB676B
RF00162_8007;URS0000AB9976
RF00162_8013;URS000017B02F
RF00162_8014;URS0000AB1A7A
RF00162_8015;URS000231F404
RF00162_8016;URS0000AB6A89 
RF00162_8017;URS0000AB85EA
RF00162_8018;URS0000AB5106
RF00162_8019;URS0000AB7DB8
RF00162_8020;URS0000ABC750
RF00162_8021;URS0000AB8268
RF00162_8022;URS0000AB56DC
RF00162_8023;URS0000AB3244
RF00162_8025;URS0000AB7302
RF00162_8026;URS0000AB3213
RF00162_8027;URS0000AB7EF7
RF00162_8028;URS0000AB4450
RF00162_8029;URS0000ABD6EE
RF00162_8030;URS0000AB923C
RF00162_8031;URS0000AB784C
RF00162_8034;URS0000ABA71E
RF00162_8035;URS0000AB6B1E
RF00162_8036;URS0000AB5D8D
RF00162_8037;URS0000ABB860
RF00162_8038;URS0000AB2870 
RF00162_8039;URS0000AB75A7
RF00162_8040;URS0000ABCD2D
RF00162_8041;URS0000AB14E1
RF00162_8042;URS0000AB936F
RF00162_8043;URS0000AB1670
RF00162_8044;URS0000AB2E1F
RF00162_8045;URS0000AB5B83
RF00162_8046;URS0000ABAE6D
RF00162_8047;URS0000ABD55D
RF00162_8048;URS0000AB1C07
RF00162_8050;URS0000AB6BD5
RF00162_8051;URS0000AB4C14 
RF00162_8052;URS0000ABB534
RF00162_8053;URS0000AB517F
RF00162_8054;URS000009487A 
RF00162_8055;URS0000AB6F0F
RF00162_8056;URS0000AB4663
RF00162_8057;URS0000ABC40D
RF00162_8059;URS0000AB6BE8
RF00162_8060;URS0000ABC67B
RF00162_8061;URS0000AB7922
RF00162_8062;URS0000AB90CF
RF00162_8063;URS0000ABB8F0
RF00162_8064;URS0000ABC6AB
RF00162_8065;URS0000AB579C
RF00162_8066;URS0000ABCC19
RF00162_8067;URS0000AB6521
RF00162_8068;URS0000AB9375
RF00162_8069;URS0000AB4B4D
RF00162_8070;URS0000AB41A3
RF00162_8071;URS0000AB269F
RF00162_8072;URS0000ABA7D5
RF00162_8073;URS0000ABADF2
RF00162_8074;URS0000ABA9FB
RF00162_8075;URS0000AB87C8
RF00162_8077;URS0000AB49E0
RF00162_8078;URS0000AB8FA0
RF00162_8079;URS0000AB69D2
RF00162_8080;URS0000AB670A
RF00162_8081;URS0000AB9F2C
RF00162_8082;URS0000AB8769
RF00162_8083;URS0000ABC4E3 
RF00162_8084;URS0000ABAE31
RF00162_8086;URS0000ABA608
RF00162_8087;URS0000AB4E8E
RF00162_8088;URS0000AB2112
RF00162_8089;URS0000AB695B
RF00162_8090;URS0000AB1F31
RF00162_8091;URS0000ABD012
RF00162_8092;URS0000AB23A4
RF00162_8093;URS0000AB6D73
RF00162_8094;URS0000AB4211
RF00162_8095;URS0000ABA6C9
RF00162_8096;URS0000AB90EE
RF00162_8097;URS0000AB3466
RF00162_8098;URS0000AB2986
RF00162_8099;URS0000AB2E20
RF00162_8100;URS0000ABB923
RF00162_8101;URS0000AB98E9
RF00162_8102;URS0000ABD305
RF00162_8103;URS0000AB4A02
RF00162_8104;URS0000AB5758
RF00162_8105;URS0000AB84AA
RF00162_8107;URS0000AB552F
RF00162_8108;URS0000AB6F0E
RF00162_8109;URS000046EA23
RF00162_8110;URS0000AB811F
RF00162_8111;URS0000AB2292
RF00162_8112;URS0000AB60DE
